
 [10:44:09,214] COM_Init: SDK_Ver V4.1.16.

 [10:44:09,215] COM_SetCalibMode 0

 [10:44:09,217] SynBox unused

 [10:44:11,735] register Event Callback:20

 [10:44:11,735] SDK call COM_Close command

 [10:44:11,735] error: h_Socket is NULL

 [10:44:11,735] Error in send FP command

 [10:44:11,736]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [10:44:11,736] Send FP CMD Failed!

 [10:48:23,643] COM_Init: SDK_Ver V4.1.16.

 [10:48:23,644] COM_SetCalibMode 0

 [10:48:23,646] SynBox unused

 [10:56:10,995] ZM_COMPATIBLE_VER detected! IP:192,168,11,248

 [10:57:50,220] register Event Callback:20

 [10:57:50,220] SDK call COM_Close command

 [10:57:50,223] SDK call detach
 [10:58:01,246] COM_Init: SDK_Ver V4.1.16.

 [10:58:01,246] COM_SetCalibMode 0

 [10:58:01,248] SynBox unused

 [10:58:01,467] ZM_COMPATIBLE_VER detected! IP:192,168,11,248

 [11:00:02,794] local Ip:192.168.11.252

 [11:00:03,107] socket for Broadcast initialized successfully

 [11:00:03,108] socket for Broadcast ack initialized successfully

 [11:00:03,110] socket for receiving information initialized successfully

 [11:00:03,110] socket for acknowledging information initialized successfully

 [11:00:03,110] Socket for sending command initialized successfully

 [11:00:03,111] Socket for CmdAck command initialized successfully

 [11:00:03,112] Image transmission Socket initialized successfully

 [11:00:03,113] Image retransmission info Socket initialized successfully

 [11:00:03,122] fun:RcvImgPacketEvents Listening for incoming datagrams 

 [11:00:03,565] RecordFPSN sn: AGA25530A574, connect:04
 [11:00:06,320] Target id: NONE.
 [11:00:06,321] SDK call funcLinkUpExCallBack Psn=AGA25530A574
 [11:01:25,247] register Event Callback:20

 [11:01:25,247] SDK call COM_Close command

 [11:01:25,247] SDK call detach
 [11:01:30,090] COM_Init: SDK_Ver V4.1.16.

 [11:01:30,090] COM_SetCalibMode 0

 [11:01:30,092] SynBox unused

 [11:01:33,215] ZM_COMPATIBLE_VER detected! IP:192,168,11,2

 [11:01:33,216] local Ip:192.168.11.252

 [11:01:33,522] socket for Broadcast initialized successfully

 [11:01:33,522] socket for Broadcast ack initialized successfully

 [11:01:33,522] socket for receiving information initialized successfully

 [11:01:33,523] socket for acknowledging information initialized successfully

 [11:01:33,523] Socket for sending command initialized successfully

 [11:01:33,524] Socket for CmdAck command initialized successfully

 [11:01:33,524] Image transmission Socket initialized successfully

 [11:01:33,525] Image retransmission info Socket initialized successfully

 [11:01:33,528] fun:RcvImgPacketEvents Listening for incoming datagrams 

 [11:01:33,764] RecordFPSN sn: AGA25530A574, connect:03
 [11:01:35,965] Target id: NONE.
 [11:01:35,965] SDK call funcLinkUpExCallBack Psn=AGA25530A574
 [11:05:48,406] register Event Callback:20

 [11:05:48,406] SDK call COM_Close command

 [11:05:48,406] SDK call detach
 [11:06:05,210] COM_Init: SDK_Ver V4.1.16.

 [11:06:05,210] COM_SetCalibMode 0

 [11:06:05,212] SynBox unused

 [11:06:05,461] ZM_COMPATIBLE_VER detected! IP:192,168,11,2

 [11:06:05,462] local Ip:192.168.11.252

 [11:06:05,767] socket for Broadcast initialized successfully

 [11:06:05,767] socket for Broadcast ack initialized successfully

 [11:06:05,767] socket for receiving information initialized successfully

 [11:06:05,768] socket for acknowledging information initialized successfully

 [11:06:05,768] Socket for sending command initialized successfully

 [11:06:05,768] Socket for CmdAck command initialized successfully

 [11:06:05,768] Image transmission Socket initialized successfully

 [11:06:05,769] Image retransmission info Socket initialized successfully

 [11:06:05,770] fun:RcvImgPacketEvents Listening for incoming datagrams 

 [11:06:06,010] RecordFPSN sn: AGA25530A574, connect:03
 [11:06:08,211] Target id: NONE.
 [11:06:08,212] SDK call funcLinkUpExCallBack Psn=AGA25530A574
 [11:06:13,045] register Event Callback:20

 [11:06:13,045] SDK call COM_Close command

 [11:06:13,045] SDK call detach
 [11:08:03,978] COM_Init: SDK_Ver V4.1.16.

 [11:08:03,978] COM_SetCalibMode 0

 [11:08:03,981] SynBox unused

 [11:08:04,259] ZM_COMPATIBLE_VER detected! IP:192,168,11,2

