
 [15:05:04,378] COM_Init: SDK_Ver V4.1.16.

 [15:05:04,378] COM_SetCalibMode 6

 [15:05:04,379] SynBox unused

 [15:07:09,741] register Event Callback:20

 [15:07:09,741] SDK call COM_Close command

 [15:07:09,741] error: h_Socket is NULL

 [15:07:09,741] Error in send FP command

 [15:07:09,748]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:07:09,748] Send FP CMD Failed!

 [15:19:58,438] register Event Callback:20

 [15:19:58,438] SDK call COM_Close command

 [15:19:58,438] error: h_Socket is NULL

 [15:19:58,439] Error in send FP command

 [15:19:58,439]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:19:58,439] Send FP CMD Failed!

 [15:27:01,649] register Event Callback:20

 [15:27:01,650] SDK call COM_Close command

 [15:27:01,650] error: h_Socket is NULL

 [15:27:01,650] Error in send FP command

 [15:27:01,652]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:27:01,652] Send FP CMD Failed!

 [15:28:58,851] SDK call COM_GetFPInfo command 

 [15:28:58,851] error: h_Socket is NULL

 [15:28:58,851] Error in send FP command

 [15:28:58,851]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:28:58,851] Send FP CMD Failed!

 [15:28:58,851] error: h_Socket is NULL

 [15:28:58,851] Error in send FP command

 [15:28:58,852]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:28:58,852] Send FP CMD Failed!

 [15:28:58,852] SDK call COM_GetFPConf command 

 [15:28:58,852] getFPConfig

 [15:28:58,852] error: h_Socket is NULL

 [15:28:58,852] Error in send FP command

 [15:28:58,852]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:28:58,852] Send FP CMD Failed!

 [15:28:59,044] COM_GetRecoverTime 

 [15:28:59,044] error: h_Socket is NULL

 [15:28:59,044] Error in send FP command

 [15:28:59,044]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:28:59,044] Send FP CMD Failed!

 [15:29:03,247] register Event Callback:20

 [15:29:03,247] SDK call COM_Close command

 [15:29:03,247] error: h_Socket is NULL

 [15:29:03,247] Error in send FP command

 [15:29:03,247]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:29:03,247] Send FP CMD Failed!

 [15:29:26,760] SDK call COM_GetFPInfo command 

 [15:29:26,762] error: h_Socket is NULL

 [15:29:26,762] Error in send FP command

 [15:29:26,763]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:29:26,763] Send FP CMD Failed!

 [15:29:26,763] error: h_Socket is NULL

 [15:29:26,763] Error in send FP command

 [15:29:26,763]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:29:26,763] Send FP CMD Failed!

 [15:29:26,763] SDK call COM_GetFPConf command 

 [15:29:26,763] getFPConfig

 [15:29:26,763] error: h_Socket is NULL

 [15:29:26,763] Error in send FP command

 [15:29:26,763]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:29:26,763] Send FP CMD Failed!

 [15:29:26,889] COM_GetRecoverTime 

 [15:29:26,889] error: h_Socket is NULL

 [15:29:26,889] Error in send FP command

 [15:29:26,890]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:29:26,890] Send FP CMD Failed!

 [15:29:47,776] COM_SetFPType: 4343

 [15:29:52,076] COM_SetCalibMode 0

 [15:29:52,081] SDK call COM_SetFPConf command xwin = 0

 [15:29:52,087] SDK call SetRBConf
 [15:29:53,722] SDK SetWifiMode 01
 [15:29:53,722] error: h_Socket is NULL

 [15:29:53,722] Error in send FP command

 [15:29:53,723]  -> Error WSAENOTCONN: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。

 [15:29:53,723] Send FP CMD Failed!

 [15:29:56,750] SDK call SetApEssid:
 [15:29:56,750] error: h_Socket is NULL

 [15:29:56,750] Error in send FP command

